,abbreviation,FIPS,name
0,AK,02,ALASKA
1,MS,28,MISSISSIPPI
2,AL,01,ALABAMA
3,MT,30,MONTANA
4,AR,05,ARKANSAS
5,NC,37,NORTH CAROLINA
6,AS,60,AMERICAN SAMOA
7,ND,38,NORTH DAKOTA
8,AZ,04,ARIZONA
9,NE,31,NEBRASKA
10,CA,06,CALIFORNIA
11,NH,33,NEW HAMPSHIRE
12,CO,08,COLORADO
13,NJ,34,NEW JERSEY
14,CT,09,CONNECTICUT
15,NM,35,NEW MEXICO
16,DC,11,DISTRICT OF COLUMBIA
17,NV,32,NEVADA
18,DE,10,DELAWARE
19,NY,36,NEW YORK
20,FL,12,FLORIDA
21,OH,39,OHIO
22,GA,13,GEORGIA
23,OK,40,OKLAHOMA
24,GU,66,GUAM
25,OR,41,OREGON
26,HI,15,HAWAII
27,PA,42,PENNSYLVANIA
28,IA,19,IOWA
29,PR,72,PUERTO RICO
30,ID,16,IDAHO
31,RI,44,RHODE ISLAND
32,IL,17,ILLINOIS
33,SC,45,SOUTH CAROLINA
34,IN,18,INDIANA
35,SD,46,SOUTH DAKOTA
36,KS,20,KANSAS
37,TN,47,TENNESSEE
38,KY,21,KENTUCKY
39,TX,48,TEXAS
40,LA,22,LOUISIANA
41,UT,49,UTAH
42,MA,25,MASSACHUSETTS
43,VA,51,VIRGINIA
44,MD,24,MARYLAND
45,VI,78,VIRGIN ISLANDS
46,ME,23,MAINE
47,VT,50,VERMONT
48,MI,26,MICHIGAN
49,WA,53,WASHINGTON
50,MN,27,MINNESOTA
51,WI,55,WISCONSIN
52,MO,29,MISSOURI
53,WV,54,WEST VIRGINIA
54,WY,56,WYOMING
